player,ss_accuratePasses,ss_totalPasses,ss_accurateOwnHalfPasses,ss_accurateOppositionHalfPasses,ss_accurateFinalThirdPasses,ss_accurateLongBalls,ss_clearances,ss_interceptions,ss_blockedShots,ss_tackles,ss_tacklesWon,ss_aerialDuelsWon,ss_groundDuelsWon,ss_successfulDribbles,ss_errorLeadToShot,ss_errorLeadToGoal,ss_dribbledPast,ss_fouls,ss_ballRecovery,ss_accuratePasses_adj,ss_totalPasses_adj,ss_accurateOwnHalfPasses_adj,ss_accurateOppositionHalfPasses_adj,ss_accurateFinalThirdPasses_adj,ss_accurateLongBalls_adj,ss_clearances_adj,ss_interceptions_adj,ss_blockedShots_adj,ss_tackles_adj,ss_tacklesWon_adj,ss_aerialDuelsWon_adj,ss_groundDuelsWon_adj,ss_successfulDribbles_adj,ss_errorLeadToShot_adj,ss_errorLeadToGoal_adj,ss_dribbledPast_adj,ss_fouls_adj,ss_ballRecovery_adj,season_nineties,nineties,age,league,team,pos,seasons,fifa_value_eur,fifa_release_clause_eur,fifa_contract_end,fifa_pace,fifa_sprint_speed,fifa_acceleration,fifa_best_position,fifa_height,fifa_defensive_awareness,fifa_composure,fifa_overall_rating,fifa_potential,ss_accuratePassesPercentage,ss_accurateLongBallsPercentage,ss_aerialDuelsWonPercentage,ss_groundDuelsWonPercentage,ss_totalDuelsWonPercentage,ss_tacklesWonPercentage,ss_accuratePasses_p90,ss_accurateOwnHalfPasses_p90,ss_accurateOppositionHalfPasses_p90,ss_accurateFinalThirdPasses_p90,ss_accurateLongBalls_p90,ss_clearances_p90,ss_interceptions_p90,ss_blockedShots_p90,ss_aerialDuelsWon_p90,ss_successfulDribbles_p90,ss_errorLeadToShot_p90,ss_dribbledPast_p90,ss_fouls_p90,ss_ballRecovery_p90,ss_tackles_p90,is_cb,BUILD,PROGRESS,AERIAL,DUEL,PACE,SECURE,FIT,FLOOR,thin
Nayef Aguerd,2419.0,2681.0,1545.0,875.0,214.0,115.0,164.0,34.0,6.0,52.0,40.0,99.0,83.0,6.0,0.0,1.0,10.0,32.0,147.0,2135.121293107377,2368.3735831613485,1365.0447463850678,770.9854686553949,188.83609268289507,103.0551924166173,185.49488752556238,38.8241308793456,6.8711656441717786,58.695296523517385,45.0879345603272,111.4846625766871,93.27402862985684,5.401001959648175,0.0,0.8563922942206655,11.2719836400818,36.623721881390594,166.72392638036808,37.1,35.1,29.0,FRA-Ligue 1,Marseille,DF,2,21500000.0,40900000.0,2030.0,75.0,81.0,68.0,CB,"190cm 6'3""",82.0,74.0,81.0,81.0,90.2992368844035,42.997323818019495,64.11347517730499,61.0,62.413499147528,76.3636363636365,57.55043916731474,36.79365893221207,20.78127947858207,5.089921635657549,2.7777679896662346,4.999862197454512,1.0464725304405822,0.1852066211367056,3.0049774279430483,0.14557956764550337,0.0,0.30382705229331,0.9871623148622801,4.493906371438492,1.5820834642457515,True,75.0,66.0,80.0,81.0,72.0,79.0,75.6,66.0,False
Mario Gila,3519.0,3852.0,2241.0,1279.0,362.0,262.0,220.0,53.0,7.0,101.0,68.0,125.0,164.0,10.0,3.0,3.0,30.0,51.0,287.0,3259.587956961369,3569.187235329703,2080.2873239132314,1180.1881103621122,332.60501469190217,243.69176173191596,237.32106339468305,57.31697341513293,7.59918200408998,109.38445807770961,73.64212678936606,135.27402862985684,177.48875255623724,9.371337827326938,2.827953504450782,2.6624319419237747,32.74642126789366,55.640081799591016,310.50920245398777,58.0,58.0,24.0,ITA-Serie A,Lazio,DF,2,31500000.0,55900000.0,2027.0,85.0,87.0,83.0,CB,"185cm 6'1""",84.0,76.0,81.0,84.0,91.318843558017,67.3730608354955,57.7947413061915,62.5756870051235,60.390085118974994,67.33201581027649,56.19979236140291,35.8670228260902,20.34807086831228,5.734569218825899,4.201582098826138,4.091742472322122,0.9882236795712573,0.13102037938086172,2.3323108384458076,0.16157479012632653,0.04875781904225486,0.5645934701360976,0.9593117551653624,5.353606938861858,1.8859389323743037,True,90.0,70.0,50.0,75.0,97.0,55.0,75.5,50.0,False
William Saliba,4363.0,4651.0,2815.0,1548.0,526.0,129.0,251.0,38.0,2.0,97.0,59.0,135.0,148.0,19.0,8.0,1.0,14.0,50.0,267.0,3764.460101708858,4013.1108327412776,2428.764302808211,1335.6957989006469,454.01134876416256,111.31242755113487,290.7034764826176,44.04294478527608,2.3169734151329244,112.51124744376278,68.42740286298569,156.33946830265847,171.61963190184053,16.381978461653517,6.8904573159331415,0.8594024604569419,16.21881390593047,57.95501022494888,309.5255623721881,62.8,62.8,24.0,ENG-Premier League,Arsenal,DF,2,105500000.0,203100000.0,2030.0,77.0,78.0,76.0,CB,"192cm 6'4""",89.0,82.0,88.0,90.0,93.72629172320799,57.2492163009405,58.651515151515,62.1396446213965,60.4224889035015,61.267281105991,59.94363219281621,38.67459080904795,21.269041383768265,7.229480075862462,1.7724908845722114,4.62903624972321,0.7013207768356063,0.03689448113268988,2.4894819793416954,0.2608595296441643,0.10972065789702455,0.25826136792882914,0.9228504812889949,4.928750993187709,1.7915803733083246,True,94.0,81.0,57.0,66.0,80.0,63.0,75.1,57.0,False
Nico Schlotterbeck,3575.0,4019.0,1955.0,1626.0,660.0,318.0,205.0,49.0,16.0,88.0,61.0,119.0,162.0,29.0,2.0,0.0,26.0,48.0,299.0,3120.8619659358405,3509.80401481826,1705.249980091547,1420.5933101227315,578.562590583461,280.32176519492765,232.37832310838448,55.92842535787321,18.012269938650306,100.26993865030676,69.23721881390594,135.77709611451942,184.59304703476482,25.384816061821322,1.7476691183262882,0.0,30.40081799591002,54.38036809815951,343.88343558282213,50.0,50.0,25.0,GER-Bundesliga,Dortmund,DF,2,75500000.0,134000000.0,2031.0,74.0,72.0,77.0,CB,"191cm 6'3""",87.0,81.0,86.0,88.0,88.94415837562451,60.903957368213995,64.1446208112875,60.078431372549005,61.7303921568625,68.578947368421,62.41723931871681,34.10499960183094,28.41186620245463,11.57125181166922,5.606435303898553,4.647566462167689,1.1185685071574643,0.3602453987730061,2.7155419222903885,0.5076963212364265,0.034953382366525766,0.6080163599182005,1.08760736196319,6.877668711656443,2.005398773006135,True,82.0,97.0,77.0,73.0,68.0,56.0,74.5,56.0,False
Kim Min-jae,3837.0,4104.0,2024.0,1813.0,532.0,95.0,167.0,76.0,2.0,57.0,37.0,128.0,68.0,4.0,0.0,5.0,15.0,34.0,240.0,2769.7196858124694,2962.348289968909,1460.795810832924,1308.923874979545,384.16253968253966,68.51067910325642,231.23312883435585,105.21063394683026,2.768916155419223,78.96728016359918,51.23721881390593,177.35787321063395,94.20858895705521,2.884974635902471,0.0,3.60515136638848,20.787321063394682,47.13701431492843,332.5398773006135,43.2,43.2,28.0,GER-Bundesliga,Bayern Munich,DF,2,26500000.0,43700000.0,2028.0,73.0,73.0,73.0,CB,"190cm 6'3""",80.0,66.0,82.0,82.0,93.7639170294285,57.68752590136749,63.364545648009994,57.317073170731504,60.969419596422,67.207792207792,64.11388161602937,33.81471784335472,30.29916377267465,8.892651381540269,1.585895349612417,5.352618723017496,2.435431341361811,0.06409528137544497,4.10550632432023,0.06678182027552015,0.0,0.48118798757858056,1.0911345906233432,7.697682344921609,1.8279463000833143,True,92.0,75.0,82.0,65.0,64.0,65.0,74.2,64.0,False
Tosin Adarabioyo,1760.0,1934.0,1210.0,550.0,100.0,62.0,145.0,20.0,5.0,34.0,21.0,83.0,47.0,4.0,0.0,1.0,6.0,14.0,63.0,1501.1503124743906,1649.5213906096815,1031.9423250279997,469.2079874463907,85.37207064743964,52.918216391929995,170.12474437627816,23.464212678936605,5.850715746421268,39.91002044989776,24.619631901840492,97.42126789366054,55.08997955010225,3.425569176882662,0.0,0.8474870017331021,7.030674846625767,16.421267893660534,73.83435582822088,24.5,24.5,27.0,ENG-Premier League,Chelsea,DF,2,14000000.0,27700000.0,2028.0,69.0,73.0,63.0,CB,"197cm 6'6""",78.0,77.0,78.0,79.0,90.9113356057145,44.166666666667,65.344827586207,68.8837209302325,66.79816611579051,61.764705882353,61.271441325485334,42.12009489910203,19.151346426383295,3.4845743121403934,2.159927199670612,6.943867117399108,0.9577229664872083,0.23880472434372524,3.9763782813738997,0.13981915007684334,0.0,0.2869663202704395,0.6702558323943075,3.0136471766620767,1.6289804265264392,True,80.0,51.0,86.0,83.0,47.0,81.0,71.4,47.0,True
Waldemar Anton,3753.0,4145.0,2241.0,1517.0,485.0,155.0,275.0,60.0,13.0,107.0,64.0,131.0,173.0,33.0,4.0,0.0,17.0,47.0,271.0,3301.177182046079,3647.5583476939637,1971.5654701420985,1333.7628154693457,427.8658488805079,136.09856436163943,312.34151329243355,68.83435582822086,15.085889570552148,120.52147239263803,72.16359918200409,148.05521472392638,197.04089979550105,28.531243529752786,3.582565928832855,0.0,19.216768916155416,53.51942740286299,309.35582822085894,53.7,53.7,29.0,GER-Bundesliga,Dortmund,DF,2,31500000.0,53600000.0,2028.0,69.0,73.0,65.0,CB,"189cm 6'2""",87.0,80.0,83.0,83.0,90.6563413069815,46.946857434849,61.227129035348,66.41782059000599,64.079402252704,60.334407735697,61.47443541985249,36.71444078476906,24.837296377455225,7.9677066830634615,2.534423917348965,5.816415517549973,1.2818315796689173,0.28092904228216287,2.757080348676469,0.5313080731797539,0.06671444932649637,0.35785416976080847,0.99663738180378,5.760816167986199,2.244347716808902,True,81.0,93.0,71.0,77.0,49.0,62.0,70.9,49.0,False
Éder Militão,1331.0,1473.0,797.0,534.0,159.0,91.0,86.0,23.0,6.0,42.0,33.0,47.0,71.0,8.0,1.0,0.0,8.0,33.0,100.0,1086.11665089877,1201.9374533919529,650.1517474539485,435.9649034448217,129.7922310646113,74.2004229506372,105.2678936605317,28.20654396728016,7.355828220858895,51.45398773006135,40.46625766871165,57.57464212678937,86.97955010224949,6.513559463520507,0.8218487394957984,0.0,9.826175869120654,40.484662576687114,122.48670756646216,23.1,23.1,27.0,ESP-La Liga,Real Madrid,DF,2,45000000.0,95600000.0,2028.0,82.0,83.0,80.0,CB,"186cm 6'1""",85.0,76.0,84.0,86.0,90.3376164815645,55.1146384479715,59.477756286267,59.2803556543485,58.851866720192504,79.519450800915,47.01803683544459,28.14509729237872,18.872939543065872,5.618711301498323,3.212139521672606,4.55705167361609,1.2210625094060674,0.3184341221151037,2.4924087500774617,0.2819722711480739,0.03557786751064062,0.4253755787498118,1.7525827955275806,5.30245487300702,2.227445356279712,True,69.0,72.0,60.0,70.0,93.0,56.0,70.9,56.0,True
Ibrahima Konaté,3656.0,4065.0,2178.0,1478.0,468.0,111.0,315.0,46.0,7.0,93.0,54.0,199.0,158.0,8.0,5.0,1.0,20.0,60.0,215.0,3053.983007999158,3395.4602453231078,1819.644629282706,1234.338378716452,390.930176145148,92.56187291947359,377.9038854805726,55.22699386503068,8.357873210633947,111.47034764826176,64.63394683026586,238.86912065439674,189.5746421267894,6.665563871978396,4.1688357235336575,0.8474870017331021,23.92638036809816,71.87730061349694,257.519427402863,62.699999999999996,62.699999999999996,26.0,ENG-Premier League,Liverpool,DF,2,43500000.0,83700000.0,2028.0,77.0,83.0,69.0,CB,"194cm 6'4""",84.0,80.0,84.0,85.0,89.961122825514,41.359289617486,71.00954239861201,63.796517582792504,67.57454606030299,58.9150943396225,48.70786296649375,29.021445443105364,19.686417523388393,6.234931038997576,1.476265915781078,6.027175207026677,0.880813299282786,0.13329941324775035,3.809714842972835,0.10630883368386597,0.06648860803083984,0.38160096280858313,1.146368430837272,4.107167901162089,1.77783648561821,True,59.0,67.0,95.0,74.0,79.0,56.0,70.5,56.0,False
Malick Thiaw,2697.0,2954.0,1739.0,959.0,294.0,156.0,260.0,46.0,11.0,68.0,49.0,163.0,95.0,11.0,5.0,2.0,16.0,48.0,183.0,2483.5635621521333,2720.9810760667906,1600.7144341372914,883.7563636363636,271.37231910946196,143.5851576994434,281.3169734151329,49.8159509202454,11.895705521472394,73.69325153374233,53.094069529652344,176.40286298568506,102.93865030674847,10.173135435992577,4.632949907235622,1.8628571428571428,17.29243353783231,52.22085889570552,198.33333333333334,53.0,53.0,23.0,ITA-Serie A,Milan,DF,2,33000000.0,65200000.0,2029.0,75.0,78.0,72.0,CB,"194cm 6'4""",81.0,80.0,81.0,85.0,91.59142082609901,62.8508316008315,64.8082706766915,57.4139030612245,61.5201465201465,71.780303030303,46.859689851927044,30.202159134665877,16.674648370497426,5.120232436027584,2.7091539188574227,5.307867422927036,0.9399236022687811,0.22444727399004516,3.3283559053902843,0.19194595162250147,0.08741414919312494,0.3262723309024964,0.9852992244472739,3.7421383647798745,1.3904387081838174,True,77.0,59.0,84.0,69.0,73.0,56.0,70.1,56.0,False
